part_id,week_start_date,opening_stock,usage_qty,fulfilled_qty,unfulfilled_qty,receipts_qty,backorder_qty,stock_on_order,closing_stock,demand_source,minimum_order_qty,order_multiple_qty,raw_recommended_qty,final_order_qty,moq_applied,order_multiple_applied
P-1001,2026-03-15,164.42857142857142,4.0,4.0,0.0,0.0,0.0,10.0,160.42857142857142,usage_only,5.0,1.0,1.0,5.0,True,False
P-1001,2026-03-15,160.42857142857142,4.0,4.0,0.0,0.0,0.0,15.0,156.42857142857142,usage_only,5.0,1.0,0.0,0.0,False,False
P-1002,2026-03-15,0.0,2.0,2.0,0.0,127.57142857142858,0.0,129.57142857142858,125.57142857142858,usage_only,2.0,1.0,2.0,2.0,False,False
P-1002,2026-03-15,125.57142857142858,2.0,2.0,0.0,0.0,0.0,131.57142857142858,123.57142857142858,usage_only,2.0,1.0,2.0,2.0,False,False
P-1003,2026-03-15,0.0,6.0,2.5,15.5,2.5,15.5,121.5,0.0,usage_only,10.0,1.0,0.0,0.0,False,False
P-1003,2026-03-15,0.0,6.0,0.0,21.5,0.0,21.5,121.5,0.0,usage_only,10.0,1.0,0.0,0.0,False,False
P-1004,2026-03-15,1.0,1.0,1.0,0.0,198.0,0.0,1.0,198.0,usage_only,1.0,1.0,1.0,1.0,False,False
P-1005,2026-03-15,0.0,1.0,0.0,1.0,0.0,1.0,342.85714285714283,0.0,usage_only,1.0,1.0,0.0,0.0,False,False
P-1001,2026-04-15,156.42857142857142,4.0,4.0,0.0,2.5,0.0,12.5,154.92857142857142,usage_only,5.0,1.0,4.0,5.0,True,False
P-1001,2026-04-15,154.92857142857142,4.0,4.0,0.0,0.0,0.0,17.5,150.92857142857142,usage_only,5.0,1.0,3.0,5.0,True,False
P-1002,2026-04-15,123.57142857142858,2.0,2.0,0.0,63.78571428571429,0.0,67.78571428571429,185.3571428571429,usage_only,2.0,1.0,4.0,4.0,False,False
P-1002,2026-04-15,185.3571428571429,2.0,2.0,0.0,0.0,0.0,71.78571428571429,183.3571428571429,usage_only,2.0,1.0,2.0,2.0,False,False
P-1003,2026-04-15,0.0,6.0,1.25,26.25,1.25,26.25,120.25,0.0,usage_only,10.0,1.0,0.0,0.0,False,False
P-1003,2026-04-15,0.0,6.0,0.0,32.25,0.0,32.25,120.25,0.0,usage_only,10.0,1.0,0.0,0.0,False,False
P-1004,2026-04-15,198.0,1.0,1.0,0.0,1.0,0.0,1.0,198.0,usage_only,1.0,1.0,1.0,1.0,False,False
P-1005,2026-04-15,0.0,1.0,2.0,0.0,341.85714285714283,0.0,1.0,339.85714285714283,usage_only,1.0,1.0,2.0,2.0,False,False
P-1001,2026-05-15,150.92857142857142,4.0,4.0,0.0,6.25,0.0,16.25,153.17857142857142,usage_only,5.0,1.0,2.0,5.0,True,False
P-1001,2026-05-15,153.17857142857142,4.0,4.0,0.0,0.0,0.0,21.25,149.17857142857142,usage_only,5.0,1.0,1.0,5.0,True,False
P-1002,2026-05-15,183.3571428571429,2.0,2.0,0.0,36.392857142857146,0.0,37.392857142857146,217.75000000000003,usage_only,2.0,1.0,2.0,2.0,False,False
P-1002,2026-05-15,217.75000000000003,2.0,2.0,0.0,0.0,0.0,39.392857142857146,215.75000000000003,usage_only,2.0,1.0,2.0,2.0,False,False
P-1003,2026-05-15,0.0,6.0,1.0,37.25,1.0,37.25,119.25,0.0,usage_only,10.0,1.0,0.75,10.0,True,False
P-1003,2026-05-15,0.0,6.0,0.0,43.25,0.0,43.25,129.25,0.0,usage_only,10.0,1.0,0.0,0.0,False,False
P-1004,2026-05-15,198.0,1.0,1.0,0.0,1.0,0.0,1.0,198.0,usage_only,1.0,1.0,1.0,1.0,False,False
P-1005,2026-05-15,339.85714285714283,1.0,1.0,0.0,1.0,0.0,2.0,339.85714285714283,usage_only,1.0,1.0,1.0,1.0,False,False
P-1001,2026-06-15,149.17857142857142,4.0,4.0,0.0,6.0,0.0,20.25,151.17857142857142,usage_only,5.0,1.0,0.0,0.0,False,False
P-1001,2026-06-15,151.17857142857142,4.0,4.0,0.0,0.0,0.0,20.25,147.17857142857142,usage_only,5.0,1.0,4.0,5.0,True,False
P-1002,2026-06-15,215.75000000000003,2.0,2.0,0.0,17.696428571428573,0.0,21.696428571428573,231.4464285714286,usage_only,2.0,1.0,3.9999999999999716,3.9999999999999716,False,False
P-1002,2026-06-15,231.4464285714286,2.0,2.0,0.0,0.0,0.0,25.696428571428545,229.4464285714286,usage_only,2.0,1.0,2.0,2.0,False,False
P-1003,2026-06-15,0.0,6.0,10.25,39.0,10.25,39.0,119.0,0.0,usage_only,10.0,1.0,1.0,10.0,True,False
P-1003,2026-06-15,0.0,6.0,0.0,45.0,0.0,45.0,129.0,0.0,usage_only,10.0,1.0,0.0,0.0,False,False
P-1004,2026-06-15,198.0,1.0,1.0,0.0,1.0,0.0,1.0,198.0,usage_only,1.0,1.0,1.0,1.0,False,False
P-1005,2026-06-15,339.85714285714283,1.0,1.0,0.0,1.0,0.0,2.0,339.85714285714283,usage_only,1.0,1.0,1.0,1.0,False,False
