part_number,model,training_usage_qty,std_dev_monthly_usage,avg_installed_base,installed_base_at_forecast,training_months,avg_monthly_usage,coefficient_of_variation,monthly_usage_rate_per_machine,raw_predicted_demand,adjusted_predicted_demand,demand_classification,forecast_reason,stock_on_hand,stock_on_order,stock_snapshot_date_used,current_stock_used,variability_buffer_pct,total_buffer_pct,safety_buffer,recommended_order,true_demand,predicted_demand,forecast_error,absolute_error,under_forecast_qty,over_forecast_qty,forecast_date,training_start,training_end,lead_time_start,lead_time_end,evaluation_start,evaluation_end
PN-1010,MODEL-D,17.0,1.7224014243685084,5.75,9.0,9,1.8888888888888888,0.9118595776068574,0.32850241545893716,8.869565217391305,8.869565217391305,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.22796489440171436,0.47796489440171436,4.239340802519553,14,6.0,8.869565217391305,2.8695652173913047,2.8695652173913047,0.0,2.8695652173913047,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1011,MODEL-D,14.0,1.5275252316519465,5.75,9.0,9,1.5555555555555556,0.9819805060619656,0.2705314009661836,7.304347826086957,7.304347826086957,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.2454951265154914,0.49549512651549144,3.6192687502001117,11,1.0,7.304347826086957,6.304347826086957,6.304347826086957,0.0,6.304347826086957,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1012,MODEL-E,16.0,1.1547005383792517,1.5,2.0,9,1.7777777777777777,0.6495190528383291,1.1851851851851851,7.111111111111111,7.111111111111111,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.16237976320958228,0.41237976320958225,2.932478316157029,11,0.0,7.111111111111111,7.111111111111111,7.111111111111111,0.0,7.111111111111111,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1013,MODEL-E,10.0,1.5275252316519468,1.5,2.0,9,1.1111111111111112,1.374772708486752,0.7407407407407408,4.444444444444445,4.444444444444445,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.343693177121688,0.593693177121688,2.638636342763058,8,4.0,4.444444444444445,0.44444444444444464,0.44444444444444464,0.0,0.44444444444444464,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1014,MODEL-E,11.0,2.5166114784235836,1.5,2.0,9,1.2222222222222223,2.059045755073841,0.8148148148148148,4.888888888888888,3.666666666666666,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.5147614387684603,0.7647614387684603,2.804125275484354,7,19.0,3.666666666666666,-15.333333333333334,15.333333333333334,15.333333333333334,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1015,MODEL-F,20.0,2.160246899469287,2.3333333333333335,4.0,9,2.2222222222222223,0.9721111047611791,0.9523809523809523,11.428571428571427,11.428571428571427,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.24302777619029478,0.4930277761902948,5.6346031564605115,18,0.0,11.428571428571427,11.428571428571427,11.428571428571427,0.0,11.428571428571427,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1016,MODEL-F,6.0,0.0,2.3333333333333335,4.0,9,0.6666666666666666,0.0,0.2857142857142857,3.4285714285714284,3.4285714285714284,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.8571428571428571,5,0.0,3.4285714285714284,3.4285714285714284,3.4285714285714284,0.0,3.4285714285714284,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1017,MODEL-F,23.0,2.5099800796022267,2.3333333333333335,4.0,9,2.5555555555555554,0.9821661181052193,1.0952380952380951,13.142857142857142,13.142857142857142,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.2455415295263048,0.4955415295263048,6.512831530917149,20,6.0,13.142857142857142,7.142857142857142,7.142857142857142,0.0,7.142857142857142,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1018,MODEL-G,12.0,2.6457513110645907,2.5,4.0,9,1.3333333333333333,1.984313483298443,0.5333333333333333,6.4,4.800000000000001,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.49607837082461076,0.7460783708246108,3.5811761799581325,9,1.0,4.800000000000001,3.8000000000000007,3.8000000000000007,0.0,3.8000000000000007,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1019,MODEL-G,17.0,4.041451884327381,2.5,4.0,9,1.8888888888888888,2.139592174055672,0.7555555555555555,9.066666666666666,6.8,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.534898043513918,0.784898043513918,5.337306695894642,13,0.0,6.8,6.8,6.8,0.0,6.8,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1020,MODEL-G,4.0,1.4142135623730951,2.5,4.0,9,0.4444444444444444,3.1819805153394642,0.17777777777777778,2.1333333333333333,1.6,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.75,1.0,1.6,4,7.0,1.6,-5.4,5.4,5.4,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1021,MODEL-H,3.0,0.0,0.0,0.0,9,0.3333333333333333,0.0,0.0,0.0,0.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.0,0,5.0,0.0,-5.0,5.0,5.0,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1022,MODEL-H,10.0,2.8284271247461903,0.0,0.0,9,1.1111111111111112,2.545584412271571,0.0,0.0,0.0,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.6363961030678927,0.8863961030678927,0.0,0,4.0,0.0,-4.0,4.0,4.0,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1023,MODEL-H,2.0,0.0,0.0,0.0,9,0.2222222222222222,0.0,0.0,0.0,0.0,sparse,sparse history damped | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1024,MODEL-I,14.0,2.309401076758503,2.0,3.0,9,1.5555555555555556,1.4846149779161804,0.7777777777777778,7.0,7.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.3711537444790451,0.6211537444790451,4.348076211353316,12,0.0,7.0,7.0,7.0,0.0,7.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1025,MODEL-I,17.0,2.0615528128088303,2.0,3.0,9,1.8888888888888888,1.0914103126634984,0.9444444444444444,8.5,8.5,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.2728525781658746,0.5228525781658746,4.444246914409934,13,8.0,8.5,0.5,0.5,0.0,0.5,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1026,MODEL-I,8.0,1.5275252316519468,2.0,3.0,9,0.8888888888888888,1.7184658856084403,0.4444444444444444,4.0,3.0,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.42961647140211007,0.67961647140211,2.03884941420633,6,4.0,3.0,-1.0,1.0,1.0,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1027,MODEL-J,12.0,1.8257418583505538,2.5,4.0,9,1.3333333333333333,1.3693063937629155,0.5333333333333333,6.4,6.4,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.3423265984407289,0.5923265984407289,3.790890230020665,11,4.0,6.4,2.4000000000000004,2.4000000000000004,0.0,2.4000000000000004,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1028,MODEL-J,36.0,4.9396356140913875,2.5,4.0,9,4.0,1.2349089035228469,1.6,19.200000000000003,19.200000000000003,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.3087272258807117,0.5587272258807117,10.727562736909665,30,1.0,19.200000000000003,18.200000000000003,18.200000000000003,0.0,18.200000000000003,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1029,MODEL-J,8.0,2.8284271247461903,2.5,4.0,9,0.8888888888888888,3.1819805153394642,0.35555555555555557,4.266666666666667,3.2,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.75,1.0,3.2,7,8.0,3.2,-4.8,4.8,4.8,0.0,2024-10-01,2024-01-01,2024-10-01,2024-10-01,2024-12-30,2024-12-30,2025-03-30
PN-1000,MODEL-A,2.0,0.0,3.0,3.0,9,0.2222222222222222,0.0,0.07407407407407407,0.6666666666666666,0.3333333333333333,sparse,sparse history damped | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.08333333333333333,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1001,MODEL-A,14.0,3.511884584284246,3.0,3.0,9,1.5555555555555556,2.2576400898970155,0.5185185185185186,4.666666666666668,3.500000000000001,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.5644100224742539,0.8144100224742539,2.8504350786598893,7,0.0,3.500000000000001,3.500000000000001,3.500000000000001,0.0,3.500000000000001,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1002,MODEL-A,17.0,2.6299556396765835,3.0,3.0,9,1.8888888888888888,1.3923294562993678,0.6296296296296297,5.666666666666666,5.666666666666666,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.34808236407484194,0.5980823640748419,3.389133396424104,10,5.0,5.666666666666666,0.6666666666666661,0.6666666666666661,0.0,0.6666666666666661,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1003,MODEL-B,35.0,5.852349955359813,4.333333333333333,7.0,9,3.888888888888889,1.5048899885210947,0.8974358974358974,18.846153846153843,14.134615384615383,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.37622249713027367,0.6262224971302737,8.851414142129828,23,3.0,14.134615384615383,11.134615384615383,11.134615384615383,0.0,11.134615384615383,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1004,MODEL-B,10.0,1.5275252316519468,4.333333333333333,7.0,9,1.1111111111111112,1.374772708486752,0.25641025641025644,5.384615384615385,5.384615384615385,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.343693177121688,0.593693177121688,3.196809415270628,9,4.0,5.384615384615385,1.384615384615385,1.384615384615385,0.0,1.384615384615385,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1005,MODEL-B,2.0,0.0,4.333333333333333,7.0,9,0.2222222222222222,0.0,0.05128205128205129,1.076923076923077,0.5384615384615385,sparse,sparse history damped | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.13461538461538464,1,2.0,0.5384615384615385,-1.4615384615384615,1.4615384615384615,1.4615384615384615,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1006,MODEL-C,8.0,2.8284271247461903,0.0,0.0,9,0.8888888888888888,3.1819805153394642,0.0,0.0,0.0,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.75,1.0,0.0,0,10.0,0.0,-10.0,10.0,10.0,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1007,MODEL-C,36.0,2.5298221281347035,0.0,0.0,9,4.0,0.6324555320336759,0.0,0.0,0.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.15811388300841897,0.408113883008419,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1008,MODEL-C,21.0,1.5,0.0,0.0,9,2.3333333333333335,0.6428571428571428,0.0,0.0,0.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.1607142857142857,0.4107142857142857,0.0,0,5.0,0.0,-5.0,5.0,5.0,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1009,MODEL-D,18.0,2.0816659994661326,7.333333333333333,9.0,9,2.0,1.0408329997330663,0.2727272727272727,7.363636363636362,7.363636363636362,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.2602082499332666,0.5102082499332665,3.756988022235871,12,20.0,7.363636363636362,-12.636363636363637,12.636363636363637,12.636363636363637,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1010,MODEL-D,12.0,1.5165750888103102,7.333333333333333,9.0,9,1.3333333333333333,1.1374313166077328,0.18181818181818182,4.909090909090909,4.909090909090909,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.2843578291519332,0.5343578291519332,2.6232111612913083,8,6.0,4.909090909090909,-1.0909090909090908,1.0909090909090908,1.0909090909090908,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1011,MODEL-D,14.0,1.5275252316519465,7.333333333333333,9.0,9,1.5555555555555556,0.9819805060619656,0.21212121212121213,5.7272727272727275,5.7272727272727275,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.2454951265154914,0.49549512651549144,2.837835724588724,9,6.0,5.7272727272727275,-0.2727272727272725,0.2727272727272725,0.2727272727272725,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1012,MODEL-E,16.0,1.1547005383792517,3.0,4.0,9,1.7777777777777777,0.6495190528383291,0.5925925925925926,7.111111111111111,7.111111111111111,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.16237976320958228,0.41237976320958225,2.932478316157029,11,0.0,7.111111111111111,7.111111111111111,7.111111111111111,0.0,7.111111111111111,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1013,MODEL-E,5.0,0.7071067811865476,3.0,4.0,9,0.5555555555555556,1.2727922061357855,0.1851851851851852,2.2222222222222223,2.2222222222222223,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.31819805153394637,0.5681980515339464,1.2626623367421033,4,9.0,2.2222222222222223,-6.777777777777778,6.777777777777778,6.777777777777778,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1014,MODEL-E,11.0,2.5166114784235836,3.0,4.0,9,1.2222222222222223,2.059045755073841,0.4074074074074074,4.888888888888888,3.666666666666666,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.5147614387684603,0.7647614387684603,2.804125275484354,7,19.0,3.666666666666666,-15.333333333333334,15.333333333333334,15.333333333333334,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1015,MODEL-F,13.0,1.707825127659933,2.3333333333333335,4.0,9,1.4444444444444444,1.1823404729953382,0.6190476190476191,7.428571428571429,7.428571428571429,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.29558511824883454,0.5455851182488345,4.052918021277057,12,1.0,7.428571428571429,6.428571428571429,6.428571428571429,0.0,6.428571428571429,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1016,MODEL-F,0.0,0.0,2.3333333333333335,4.0,9,0.0,0.0,0.0,0.0,0.0,no_history,no historical usage | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.0,0,1.0,0.0,-1.0,1.0,1.0,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1017,MODEL-F,20.0,2.70801280154532,2.3333333333333335,4.0,9,2.2222222222222223,1.218605760695394,0.9523809523809523,11.428571428571427,11.428571428571427,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.3046514401738485,0.5546514401738485,6.338873601986839,18,8.0,11.428571428571427,3.428571428571427,3.428571428571427,0.0,3.428571428571427,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1018,MODEL-G,12.0,2.6457513110645907,3.3333333333333335,5.0,9,1.3333333333333333,1.984313483298443,0.39999999999999997,5.999999999999999,4.499999999999999,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.49607837082461076,0.7460783708246108,3.3573526687107482,8,0.0,4.499999999999999,4.499999999999999,4.499999999999999,0.0,4.499999999999999,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1019,MODEL-G,18.0,4.041451884327381,3.3333333333333335,5.0,9,2.0,2.0207259421636903,0.6,9.0,6.75,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.5051814855409226,0.7551814855409226,5.097475027401227,12,0.0,6.75,6.75,6.75,0.0,6.75,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1020,MODEL-G,4.0,1.4142135623730951,3.3333333333333335,5.0,9,0.4444444444444444,3.1819805153394642,0.13333333333333333,2.0,1.5,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.75,1.0,1.5,3,9.0,1.5,-7.5,7.5,7.5,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1021,MODEL-H,3.0,0.0,0.0,0.0,9,0.3333333333333333,0.0,0.0,0.0,0.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.0,0,1.0,0.0,-1.0,1.0,1.0,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1022,MODEL-H,10.0,2.8284271247461903,0.0,0.0,9,1.1111111111111112,2.545584412271571,0.0,0.0,0.0,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.6363961030678927,0.8863961030678927,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1023,MODEL-H,2.0,0.0,0.0,0.0,9,0.2222222222222222,0.0,0.0,0.0,0.0,sparse,sparse history damped | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1024,MODEL-I,14.0,2.309401076758503,2.0,3.0,9,1.5555555555555556,1.4846149779161804,0.7777777777777778,7.0,7.0,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.3711537444790451,0.6211537444790451,4.348076211353316,12,5.0,7.0,2.0,2.0,0.0,2.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1025,MODEL-I,17.0,2.0615528128088303,2.0,3.0,9,1.8888888888888888,1.0914103126634984,0.9444444444444444,8.5,8.5,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.2728525781658746,0.5228525781658746,4.444246914409934,13,8.0,8.5,0.5,0.5,0.0,0.5,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1026,MODEL-I,7.0,0.7071067811865476,2.0,3.0,9,0.7777777777777778,0.9091372900969897,0.3888888888888889,3.5,3.5,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.22728432252424743,0.47728432252424746,1.6704951288348662,6,4.0,3.5,-0.5,0.5,0.5,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1027,MODEL-J,7.0,1.5275252316519465,2.5,4.0,9,0.7777777777777778,1.9639610121239313,0.3111111111111111,3.7333333333333334,2.8,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.4909902530309828,0.7409902530309829,2.0747727084867518,5,4.0,2.8,-1.2000000000000002,1.2000000000000002,1.2000000000000002,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1028,MODEL-J,41.0,4.525062483125562,2.5,4.0,9,4.555555555555555,0.9933063987348795,1.822222222222222,21.866666666666664,21.866666666666664,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.24832659968371987,0.49832659968371984,10.89674164641734,33,1.0,21.866666666666664,20.866666666666664,20.866666666666664,0.0,20.866666666666664,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1029,MODEL-J,8.0,2.8284271247461903,2.5,4.0,9,0.8888888888888888,3.1819805153394642,0.35555555555555557,4.266666666666667,3.2,volatile,high variability damped | no prior stock snapshot,0.0,0.0,0,0.0,0.75,1.0,3.2,7,5.0,3.2,-1.7999999999999998,1.7999999999999998,1.7999999999999998,0.0,2024-11-01,2024-02-01,2024-11-01,2024-11-01,2025-01-30,2025-01-30,2025-04-30
PN-1000,MODEL-A,5.0,0.0,3.0,3.0,9,0.5555555555555556,0.0,0.1851851851851852,1.6666666666666667,1.6666666666666667,normal,time_normalized_usage_rate | no prior stock snapshot,0.0,0.0,0,0.0,0.0,0.25,0.4166666666666667,3,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,2024-12-01,2024-03-01,2024-12-01,2024-12-01,2025-03-01,2025-03-01,2025-05-30
