supplier_order_id,order_seq,part_id,order_date,original_order_qty,received_qty,cancelled_qty,remaining_qty,expected_arrival_date,actual_arrival_date,receipt_status
SIM-5,5,P-1003,2026-01-15,119.0,0.0,0.0,119.0,2026-04-22,,delayed
SIM-6,6,P-1003,2026-01-15,10.0,8.75,0.0,1.25,2026-04-22,2026-04-15,partial
SIM-13,13,P-1004,2026-02-15,1.0,1.0,0.0,0.0,2026-03-22,2026-04-15,full
SIM-18,18,P-1004,2026-03-15,1.0,0.0,0.0,1.0,2026-04-19,,open
SIM-8,8,P-1005,2026-01-15,341.85714285714283,341.85714285714283,0.0,0.0,2026-03-16,2026-04-15,full
SIM-9,9,P-1001,2026-02-15,5.0,3.75,0.0,1.25,2026-05-22,2026-05-15,partial
SIM-10,10,P-1001,2026-02-15,5.0,0.0,0.0,5.0,2026-05-22,,delayed
SIM-15,15,P-1001,2026-03-15,5.0,0.0,0.0,5.0,2026-05-22,,delayed
SIM-19,19,P-1001,2026-04-15,5.0,5.0,0.0,0.0,2026-05-15,2026-05-15,full
SIM-20,20,P-1001,2026-04-15,5.0,0.0,0.0,5.0,2026-05-22,,delayed
SIM-25,25,P-1001,2026-05-15,5.0,0.0,0.0,5.0,2026-06-14,,open
SIM-3,3,P-1002,2026-01-15,251.14285714285717,219.75000000000003,0.0,31.392857142857146,2026-05-22,2026-05-15,partial
SIM-12,12,P-1002,2026-02-15,2.0,2.0,0.0,0.0,2026-04-22,2026-05-15,full
SIM-16,16,P-1002,2026-03-15,2.0,2.0,0.0,0.0,2026-04-29,2026-05-15,full
SIM-17,17,P-1002,2026-03-15,2.0,2.0,0.0,0.0,2026-04-29,2026-05-15,full
SIM-22,22,P-1002,2026-04-15,2.0,0.0,0.0,2.0,2026-05-30,,open
SIM-27,27,P-1002,2026-05-15,2.0,0.0,0.0,2.0,2026-06-29,,open
SIM-5,5,P-1003,2026-01-15,119.0,0.0,0.0,119.0,2026-05-22,,delayed
SIM-6,6,P-1003,2026-01-15,10.0,9.75,0.0,0.25,2026-05-22,2026-05-15,partial
SIM-29,29,P-1003,2026-05-15,10.0,0.0,0.0,10.0,2026-06-05,,open
SIM-18,18,P-1004,2026-03-15,1.0,1.0,0.0,0.0,2026-04-19,2026-05-15,full
SIM-23,23,P-1004,2026-04-15,1.0,0.0,0.0,1.0,2026-05-20,,open
SIM-14,14,P-1005,2026-02-15,1.0,1.0,0.0,0.0,2026-04-16,2026-05-15,full
SIM-24,24,P-1005,2026-04-15,2.0,0.0,0.0,2.0,2026-06-14,,open
SIM-9,9,P-1001,2026-02-15,5.0,4.75,0.0,0.25,2026-06-22,2026-06-15,partial
SIM-10,10,P-1001,2026-02-15,5.0,0.0,0.0,5.0,2026-06-22,,delayed
SIM-15,15,P-1001,2026-03-15,5.0,0.0,0.0,5.0,2026-06-22,,delayed
SIM-20,20,P-1001,2026-04-15,5.0,0.0,0.0,5.0,2026-06-22,,delayed
SIM-25,25,P-1001,2026-05-15,5.0,0.0,0.0,5.0,2026-06-22,,delayed
SIM-26,26,P-1001,2026-05-15,5.0,5.0,0.0,0.0,2026-06-14,2026-06-15,full
SIM-3,3,P-1002,2026-01-15,251.14285714285717,235.4464285714286,0.0,15.696428571428573,2026-06-22,2026-06-15,partial
SIM-21,21,P-1002,2026-04-15,4.0,2.0,0.0,2.0,2026-06-22,2026-06-15,partial
SIM-22,22,P-1002,2026-04-15,2.0,0.0,2.0,0.0,2026-05-30,,cancelled
SIM-28,28,P-1002,2026-05-15,2.0,0.0,0.0,2.0,2026-06-29,,open
SIM-33,33,P-1002,2026-06-15,3.9999999999999716,0.0,0.0,3.9999999999999716,2026-07-30,,open
SIM-5,5,P-1003,2026-01-15,119.0,0.0,0.0,119.0,2026-06-22,,delayed
SIM-6,6,P-1003,2026-01-15,10.0,10.0,0.0,0.0,2026-05-22,2026-06-15,full
SIM-29,29,P-1003,2026-05-15,10.0,10.0,0.0,0.0,2026-06-05,2026-06-15,full
SIM-35,35,P-1003,2026-06-15,10.0,0.0,0.0,10.0,2026-07-06,,open
SIM-23,23,P-1004,2026-04-15,1.0,1.0,0.0,0.0,2026-05-20,2026-06-15,full
SIM-30,30,P-1004,2026-05-15,1.0,0.0,0.0,1.0,2026-06-19,,open
SIM-24,24,P-1005,2026-04-15,2.0,1.0,0.0,1.0,2026-06-22,2026-06-15,partial
SIM-31,31,P-1005,2026-05-15,1.0,0.0,0.0,1.0,2026-07-14,,open
