part_number,model,date,qty
PN-1021,MODEL-H,2024-04-15,3
PN-1003,MODEL-B,2024-04-19,6
PN-1028,MODEL-J,2024-04-19,4
PN-1009,MODEL-D,2024-04-20,5
PN-1023,MODEL-H,2024-04-27,2
PN-1019,MODEL-G,2024-05-03,5
PN-1007,MODEL-C,2024-05-03,6
PN-1017,MODEL-F,2024-05-09,3
PN-1024,MODEL-I,2024-05-13,6
PN-1012,MODEL-E,2024-05-14,6
PN-1014,MODEL-E,2024-05-16,4
PN-1028,MODEL-J,2024-05-17,3
PN-1002,MODEL-A,2024-05-21,2
PN-1017,MODEL-F,2024-05-31,4
PN-1028,MODEL-J,2024-06-01,5
PN-1004,MODEL-B,2024-06-01,5
PN-1019,MODEL-G,2024-06-07,2
PN-1017,MODEL-F,2024-06-08,3
PN-1002,MODEL-A,2024-06-09,2
PN-1009,MODEL-D,2024-06-10,4
PN-1028,MODEL-J,2024-06-11,6
PN-1008,MODEL-C,2024-06-14,6
PN-1027,MODEL-J,2024-06-15,2
PN-1017,MODEL-F,2024-06-18,3
PN-1025,MODEL-I,2024-06-22,6
PN-1028,MODEL-J,2024-06-27,5
PN-1007,MODEL-C,2024-06-29,6
PN-1013,MODEL-E,2024-07-06,3
PN-1027,MODEL-J,2024-07-09,1
PN-1007,MODEL-C,2024-07-15,2
PN-1005,MODEL-B,2024-07-15,2
PN-1026,MODEL-I,2024-07-17,3
PN-1018,MODEL-G,2024-07-18,6
PN-1025,MODEL-I,2024-07-22,2
PN-1022,MODEL-H,2024-07-22,1
PN-1007,MODEL-C,2024-07-23,4
PN-1022,MODEL-H,2024-07-24,6
PN-1003,MODEL-B,2024-07-31,6
PN-1009,MODEL-D,2024-08-03,4
PN-1010,MODEL-D,2024-08-04,4
PN-1015,MODEL-F,2024-08-05,3
PN-1018,MODEL-G,2024-08-11,4
PN-1018,MODEL-G,2024-08-13,1
PN-1028,MODEL-J,2024-08-13,4
PN-1011,MODEL-D,2024-08-17,6
PN-1001,MODEL-A,2024-08-22,1
PN-1027,MODEL-J,2024-08-28,4
PN-1009,MODEL-D,2024-08-28,3
PN-1029,MODEL-J,2024-08-30,2
PN-1010,MODEL-D,2024-09-01,3
PN-1020,MODEL-G,2024-09-01,3
PN-1004,MODEL-B,2024-09-01,2
PN-1024,MODEL-I,2024-09-03,6
PN-1002,MODEL-A,2024-09-04,6
PN-1015,MODEL-F,2024-09-05,4
PN-1012,MODEL-E,2024-09-06,2
PN-1028,MODEL-J,2024-09-07,3
PN-1010,MODEL-D,2024-09-08,1
PN-1003,MODEL-B,2024-09-10,2
PN-1008,MODEL-C,2024-09-10,6
PN-1025,MODEL-I,2024-09-11,3
PN-1014,MODEL-E,2024-09-12,1
PN-1017,MODEL-F,2024-09-12,1
PN-1001,MODEL-A,2024-09-15,4
PN-1022,MODEL-H,2024-09-19,3
PN-1025,MODEL-I,2024-09-21,3
PN-1001,MODEL-A,2024-09-23,4
PN-1028,MODEL-J,2024-09-24,2
PN-1006,MODEL-C,2024-09-27,6
PN-1029,MODEL-J,2024-09-27,6
PN-1012,MODEL-E,2024-09-28,4
PN-1018,MODEL-G,2024-09-28,1
PN-1007,MODEL-C,2024-10-06,4
PN-1028,MODEL-J,2024-10-09,5
PN-1019,MODEL-G,2024-10-16,1
PN-1002,MODEL-A,2024-10-17,5
PN-1007,MODEL-C,2024-10-22,6
PN-1015,MODEL-F,2024-10-25,1
PN-1002,MODEL-A,2024-10-28,2
PN-1006,MODEL-C,2024-10-30,2
PN-1020,MODEL-G,2024-11-03,4
PN-1023,MODEL-H,2024-11-03,5
PN-1018,MODEL-G,2024-11-04,4
PN-1024,MODEL-I,2024-11-04,6
PN-1011,MODEL-D,2024-11-08,2
PN-1008,MODEL-C,2024-11-09,3
PN-1021,MODEL-H,2024-11-13,2
PN-1000,MODEL-A,2024-11-15,5
PN-1011,MODEL-D,2024-11-17,4
PN-1016,MODEL-F,2024-11-19,3
PN-1006,MODEL-C,2024-11-19,1
PN-1019,MODEL-G,2024-11-20,4
PN-1010,MODEL-D,2024-11-23,5
PN-1020,MODEL-G,2024-11-25,4
PN-1027,MODEL-J,2024-11-28,2
PN-1021,MODEL-H,2024-12-04,5
PN-1005,MODEL-B,2024-12-06,4
PN-1010,MODEL-D,2024-12-11,4
PN-1002,MODEL-A,2024-12-12,1
PN-1012,MODEL-E,2024-12-13,1
PN-1014,MODEL-E,2024-12-14,2
PN-1020,MODEL-G,2024-12-15,1
PN-1022,MODEL-H,2024-12-17,2
PN-1016,MODEL-F,2024-12-18,4
PN-1004,MODEL-B,2024-12-23,1
PN-1013,MODEL-E,2024-12-28,4
PN-1007,MODEL-C,2025-01-04,2
PN-1029,MODEL-J,2025-01-06,3
PN-1001,MODEL-A,2025-01-13,5
PN-1020,MODEL-G,2025-01-17,4
PN-1021,MODEL-H,2025-01-19,4
PN-1005,MODEL-B,2025-01-23,1
PN-1007,MODEL-C,2025-01-27,6
PN-1022,MODEL-H,2025-01-28,4
PN-1009,MODEL-D,2025-02-03,4
PN-1029,MODEL-J,2025-02-07,5
PN-1009,MODEL-D,2025-02-12,6
PN-1006,MODEL-C,2025-02-12,3
PN-1006,MODEL-C,2025-02-14,1
PN-1010,MODEL-D,2025-02-16,6
PN-1025,MODEL-I,2025-02-18,6
PN-1025,MODEL-I,2025-02-20,2
PN-1028,MODEL-J,2025-02-26,1
PN-1014,MODEL-E,2025-02-28,6
PN-1002,MODEL-A,2025-02-28,4
PN-1006,MODEL-C,2025-03-06,6
PN-1026,MODEL-I,2025-03-06,4
PN-1027,MODEL-J,2025-03-06,4
PN-1008,MODEL-C,2025-03-07,3
PN-1009,MODEL-D,2025-03-09,6
PN-1020,MODEL-G,2025-03-09,3
PN-1017,MODEL-F,2025-03-14,6
PN-1011,MODEL-D,2025-03-17,1
PN-1003,MODEL-B,2025-03-19,3
PN-1004,MODEL-B,2025-03-21,2
PN-1014,MODEL-E,2025-03-28,6
PN-1014,MODEL-E,2025-03-29,3
PN-1015,MODEL-F,2025-04-03,1
PN-1017,MODEL-F,2025-04-04,2
PN-1008,MODEL-C,2025-04-06,2
PN-1020,MODEL-G,2025-04-15,6
PN-1004,MODEL-B,2025-04-17,2
PN-1016,MODEL-F,2025-04-20,1
PN-1024,MODEL-I,2025-04-20,5
PN-1013,MODEL-E,2025-04-23,6
PN-1005,MODEL-B,2025-04-23,2
PN-1009,MODEL-D,2025-04-25,4
PN-1011,MODEL-D,2025-04-29,5
PN-1027,MODEL-J,2025-05-01,4
PN-1018,MODEL-G,2025-05-03,5
PN-1024,MODEL-I,2025-05-10,4
PN-1023,MODEL-H,2025-05-10,3
PN-1002,MODEL-A,2025-05-12,1
PN-1013,MODEL-E,2025-05-12,4
PN-1022,MODEL-H,2025-05-13,2
PN-1016,MODEL-F,2025-05-15,3
PN-1013,MODEL-E,2025-05-15,5
PN-1020,MODEL-G,2025-05-17,1
PN-1019,MODEL-G,2025-05-31,4
PN-1006,MODEL-C,2025-06-02,3
PN-1001,MODEL-A,2025-06-04,1
PN-1019,MODEL-G,2025-06-07,1
PN-1006,MODEL-C,2025-06-07,4
PN-1002,MODEL-A,2025-06-10,2
PN-1028,MODEL-J,2025-06-13,4
PN-1000,MODEL-A,2025-06-13,2
PN-1008,MODEL-C,2025-06-17,4
PN-1023,MODEL-H,2025-06-18,6
PN-1007,MODEL-C,2025-06-19,4
PN-1029,MODEL-J,2025-06-27,2
PN-1021,MODEL-H,2025-06-27,5
PN-1024,MODEL-I,2025-06-29,2
PN-1019,MODEL-G,2025-06-30,1
PN-1023,MODEL-H,2025-07-02,6
PN-1029,MODEL-J,2025-07-05,6
PN-1006,MODEL-C,2025-07-06,6
PN-1006,MODEL-C,2025-07-06,2
PN-1000,MODEL-A,2025-07-06,1
PN-1010,MODEL-D,2025-07-09,4
PN-1026,MODEL-I,2025-07-10,6
PN-1017,MODEL-F,2025-07-13,5
PN-1026,MODEL-I,2025-07-15,4
PN-1014,MODEL-E,2025-07-17,1
PN-1023,MODEL-H,2025-07-17,3
PN-1014,MODEL-E,2025-07-18,6
PN-1005,MODEL-B,2025-07-19,1
PN-1018,MODEL-G,2025-07-21,2
PN-1026,MODEL-I,2025-07-21,3
PN-1009,MODEL-D,2025-07-21,2
PN-1023,MODEL-H,2025-07-23,6
PN-1003,MODEL-B,2025-07-25,4
PN-1024,MODEL-I,2025-07-27,4
PN-1013,MODEL-E,2025-07-28,1
PN-1028,MODEL-J,2025-08-03,1
PN-1009,MODEL-D,2025-08-05,5
PN-1003,MODEL-B,2025-08-06,2
PN-1023,MODEL-H,2025-08-07,5
PN-1000,MODEL-A,2025-08-12,4
PN-1012,MODEL-E,2025-08-13,2
PN-1001,MODEL-A,2025-08-16,6
PN-1025,MODEL-I,2025-08-16,5
PN-1021,MODEL-H,2025-08-20,5
PN-1028,MODEL-J,2025-08-21,6
PN-1027,MODEL-J,2025-08-25,4
PN-1023,MODEL-H,2025-08-26,5
PN-1013,MODEL-E,2025-08-29,3
PN-1018,MODEL-G,2025-08-31,1
PN-1003,MODEL-B,2025-09-02,4
PN-1008,MODEL-C,2025-09-02,6
PN-1019,MODEL-G,2025-09-02,5
PN-1009,MODEL-D,2025-09-11,2
PN-1005,MODEL-B,2025-09-12,5
PN-1016,MODEL-F,2025-09-13,4
PN-1001,MODEL-A,2025-09-16,6
PN-1015,MODEL-F,2025-09-17,1
PN-1009,MODEL-D,2025-09-18,6
PN-1008,MODEL-C,2025-09-22,5
PN-1014,MODEL-E,2025-09-28,5
PN-1021,MODEL-H,2025-10-10,5
PN-1021,MODEL-H,2025-10-11,3
PN-1011,MODEL-D,2025-10-18,5
PN-1002,MODEL-A,2025-10-20,4
PN-1015,MODEL-F,2025-10-23,6
PN-1001,MODEL-A,2025-10-29,5
PN-1002,MODEL-A,2025-10-29,1
PN-1004,MODEL-B,2025-11-06,4
PN-1018,MODEL-G,2025-11-08,2
PN-1018,MODEL-G,2025-11-09,1
PN-1029,MODEL-J,2025-11-10,1
PN-1010,MODEL-D,2025-11-10,1
PN-1009,MODEL-D,2025-11-10,5
PN-1009,MODEL-D,2025-11-13,4
PN-1010,MODEL-D,2025-11-15,6
PN-1019,MODEL-G,2025-11-15,4
PN-1008,MODEL-C,2025-11-16,4
PN-1006,MODEL-C,2025-11-16,6
PN-1025,MODEL-I,2025-11-16,6
PN-1015,MODEL-F,2025-11-16,1
PN-1023,MODEL-H,2025-11-17,2
PN-1001,MODEL-A,2025-11-20,6
PN-1012,MODEL-E,2025-11-24,6
PN-1012,MODEL-E,2025-11-26,5
PN-1006,MODEL-C,2025-11-29,2
PN-1020,MODEL-G,2025-12-03,1
PN-1002,MODEL-A,2025-12-04,2
PN-1020,MODEL-G,2025-12-05,1
PN-1014,MODEL-E,2025-12-06,5
PN-1018,MODEL-G,2025-12-08,6
PN-1012,MODEL-E,2025-12-09,2
PN-1009,MODEL-D,2025-12-15,2
PN-1005,MODEL-B,2025-12-19,1
PN-1011,MODEL-D,2025-12-20,4
PN-1009,MODEL-D,2025-12-20,4
PN-1004,MODEL-B,2025-12-24,2
PN-1002,MODEL-A,2025-12-25,6
